213.42.95.134 - - [31/Jul/2016:04:31:35 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:31:35 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:31:36 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:31:39 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:31:40 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:31:41 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:31:59 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:32:00 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:32:00 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:32:01 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:32:01 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:32:02 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:32:02 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:32:21 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:32:22 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:32:22 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:32:23 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:32:23 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:32:24 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:32:24 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:32:25 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:32:31 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:32:32 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:32:32 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:32:36 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:32:37 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:32:37 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:32:41 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:32:41 +0000] "GET /manager/html HTTP/1.1" 401 2474
213.42.95.134 - - [31/Jul/2016:04:32:45 +0000] "GET /manager/html HTTP/1.1" 401 2474
