INFO   | jvm 1    | 2017/04/16 19:17:31 | Remove connection from pool
INFO   | jvm 1    | 2017/04/16 19:17:31 | New connection added in pool
INFO   | jvm 1    | 2017/04/16 19:17:31 | Connection back to Pool
INFO   | jvm 1    | 2017/04/16 19:17:59 | 23
INFO   | jvm 1    | 2017/04/16 19:17:59 | connection is idle true connection release count 2
INFO   | jvm 1    | 2017/04/16 19:17:59 | Error while closing
INFO   | jvm 1    | 2017/04/16 19:17:59 | Remove connection from pool
INFO   | jvm 1    | 2017/04/16 19:17:59 | New connection added in pool
INFO   | jvm 1    | 2017/04/16 19:17:59 | Connection back to Pool
INFO   | jvm 1    | 2017/04/16 19:18:01 | 23
INFO   | jvm 1    | 2017/04/16 19:18:01 | connection is idle true connection release count 7
INFO   | jvm 1    | 2017/04/16 19:18:01 | Error while closing
INFO   | jvm 1    | 2017/04/16 19:18:01 | Remove connection from pool
INFO   | jvm 1    | 2017/04/16 19:18:01 | New connection added in pool
INFO   | jvm 1    | 2017/04/16 19:18:01 | Connection back to Pool
INFO   | jvm 1    | 2017/04/16 19:18:28 | 23
INFO   | jvm 1    | 2017/04/16 19:18:28 | connection is idle true connection release count 4
INFO   | jvm 1    | 2017/04/16 19:18:28 | Error while closing
INFO   | jvm 1    | 2017/04/16 19:18:28 | Remove connection from pool
INFO   | jvm 1    | 2017/04/16 19:18:28 | New connection added in pool
INFO   | jvm 1    | 2017/04/16 19:18:28 | Connection back to Pool
INFO   | jvm 1    | 2017/04/16 19:18:30 | 23
INFO   | jvm 1    | 2017/04/16 19:18:30 | connection is idle true connection release count 2
INFO   | jvm 1    | 2017/04/16 19:18:30 | Error while closing
INFO   | jvm 1    | 2017/04/16 19:18:30 | Remove connection from pool
INFO   | jvm 1    | 2017/04/16 19:18:30 | New connection added in pool
INFO   | jvm 1    | 2017/04/16 19:18:30 | Connection back to Pool
INFO   | jvm 1    | 2017/04/16 19:19:18 | 23
INFO   | jvm 1    | 2017/04/16 19:19:18 | connection is idle true connection release count 2
INFO   | jvm 1    | 2017/04/16 19:19:18 | Error while closing
INFO   | jvm 1    | 2017/04/16 19:19:18 | Remove connection from pool
INFO   | jvm 1    | 2017/04/16 19:19:18 | New connection added in pool
INFO   | jvm 1    | 2017/04/16 19:19:18 | Connection back to Pool
INFO   | jvm 1    | 2017/04/16 19:19:21 | 23
INFO   | jvm 1    | 2017/04/16 19:19:21 | connection is idle true connection release count 2
INFO   | jvm 1    | 2017/04/16 19:19:21 | com.mysql.jdbc.exceptions.jdbc4.CommunicationsException: The last packet successfully received from the server was 267,870,447 milliseconds ago.  The last packet sent successfully to the server was 267,870,447 milliseconds ago. is longer than the server configured value of 'wait_timeout'. You should consider either expiring and/or testing connection validity before use in your application, increasing the server configured values for client timeouts, or using the Connector/J connection property 'autoReconnect=true' to avoid this problem.
INFO   | jvm 1    | 2017/04/16 19:19:21 | 	at sun.reflect.GeneratedConstructorAccessor565.newInstance(Unknown Source)
INFO   | jvm 1    | 2017/04/16 19:19:21 | 	at sun.reflect.DelegatingConstructorAccessorImpl.newInstance(DelegatingConstructorAccessorImpl.java:45)
INFO   | jvm 1    | 2017/04/16 19:19:21 | 	at java.lang.reflect.Constructor.newInstance(Constructor.java:526)
INFO   | jvm 1    | 2017/04/16 19:19:21 | 	at com.mysql.jdbc.Util.handleNewInstance(Util.java:411)
INFO   | jvm 1    | 2017/04/16 19:19:21 | 	at com.mysql.jdbc.SQLError.createCommunicationsException(SQLError.java:1116)
INFO   | jvm 1    | 2017/04/16 19:19:21 | 	at com.mysql.jdbc.MysqlIO.send(MysqlIO.java:3851)
INFO   | jvm 1    | 2017/04/16 19:19:21 | 	at com.mysql.jdbc.MysqlIO.sendCommand(MysqlIO.java:2471)
INFO   | jvm 1    | 2017/04/16 19:19:21 | 	at com.mysql.jdbc.MysqlIO.sqlQueryDirect(MysqlIO.java:2651)
INFO   | jvm 1    | 2017/04/16 19:19:21 | 	at com.mysql.jdbc.ConnectionImpl.execSQL(ConnectionImpl.java:2677)
INFO   | jvm 1    | 2017/04/16 19:19:21 | 	at com.mysql.jdbc.ConnectionImpl.execSQL(ConnectionImpl.java:2627)
INFO   | jvm 1    | 2017/04/16 19:19:21 | 	at com.mysql.jdbc.StatementImpl.executeQuery(StatementImpl.java:1556)
INFO   | jvm 1    | 2017/04/16 19:19:21 | 	at connectionManager.ConnectionPoolBean.isConnectionOK(ConnectionPoolBean.java:92)
INFO   | jvm 1    | 2017/04/16 19:19:21 | 	at connectionManager.ConnectionPoolBean.getDBConnection(ConnectionPoolBean.java:43)
